#,Nome,Tipo,Modelo,Codigo,Plot Title,Numero de serie,Coluna data/hora,Coluna variavel,Latitude [graus],Longitude [graus],Altitude [m],GMT
1,Estação Pluviométrica 1,Estação Pluviométrica,HOBO UA-003-64 Pendant Temp/Event,EH-P01,EH-P01,10440731,Date Time,"Chuva, mm","-31.3827","-52.6312",322,-3
,Estação Pluviométrica 2,Estação Pluviométrica,HOBO UA-003-64 Pendant Temp/Event,EH-P02,EHP-02,20497860,Date Time,"Chuva, mm","-31.425","-52.67",377,-3
,Estação Pluviométrica 3,Estação Pluviométrica,HOBO UA-003-64 Pendant Temp/Event,EH-P03,EH-P03,10364363,Date Time,"Chuva, mm","-31.4098","-52.6126",315,-3
,Estação Pluviométrica 4,Estação Pluviométrica,HOBO UA-003-64 Pendant Temp/Event,EH-P04,EHP-04,10440736,Date Time,"Chuva, mm","-31.4578","-52.6196",265,-3
,Estação Pluviométrica 5,Estação Pluviométrica,HOBO UA-003-64 Pendant Temp/Event,EH-P05,EH-P05,20497856,Date Time,"Chuva, mm","-31.4761","-52.6744",300,-3
,Estação Pluviométrica 6,Estação Pluviométrica,HOBO UA-003-64 Pendant Temp/Event,EH-P06,EHP06,10440734,Date Time,"Chuva, mm","-31.4647","-52.5587",295,-3
,Estação Pluviométrica 7,Estação Pluviométrica,HOBO UA-003-64 Pendant Temp/Event,EH-P07,EHP-07,10364362,Date Time,"Chuva, mm","-31.5208","-52.6632",273,-3
,Estação Pluviométrica 8,Estação Pluviométrica,HOBO UA-003-64 Pendant Temp/Event,EH-P08,EH-HP08,10440739,Date Time,"Chuva, mm","-31.5008","-52.6114",287,-3
,Estação Pluviométrica 9,Estação Pluviométrica,HOBO UA-003-64 Pendant Temp/Event,EH-P09,EH-P09,10364365,Date Time,"Chuva, mm","-31.5264","-52.5237",126,-3
,Estação Pluviométrica 10,Estação Pluviométrica,HOBO UA-003-64 Pendant Temp/Event,EH-P10,EHP-P10,10440741,Date Time,"Chuva, mm","-31.5749","-52.6427",228,-3
,Estação Pluviométrica 10,Estação Pluviométrica,HOBO UA-003-64 Pendant Temp/Event,EH-P10,EHP-10,10440741,Date Time,"Chuva, mm","-31.5749","-52.6427",228,-3
